text,label
I am feeling amazing today,joy
This made me so happy and excited,joy
I love how everything is going,joy
That was awesome and fun,joy
I feel cheerful and full of energy,joy
I am proud of what I achieved,joy
Today has been a really good day,joy
I cannot stop smiling right now,joy
This is wonderful news,joy
I am grateful and very happy,joy
The result makes me angry,anger
I am furious about this delay,anger
This is so frustrating and unfair,anger
I hate when this happens,anger
I am really mad right now,anger
That response was rude and insulting,anger
Why is everything broken again,anger
I am upset and annoyed,anger
This bug is making me angry,anger
I am irritated by the constant errors,anger
I feel sad and low today,sadness
This news made me cry,sadness
I am tired and emotionally drained,sadness
I miss my family so much,sadness
Nothing seems to work for me,sadness
I feel lonely this evening,sadness
That was heartbreaking,sadness
I am disappointed with the outcome,sadness
I feel empty and unhappy,sadness
I am worried and down,sadness
I am just okay,neutral
It is an average day,neutral
I do not feel strongly about this,neutral
That sounds fine to me,neutral
I am not sure what to feel,neutral
Let us continue with the task,neutral
Please send the report by noon,neutral
The meeting starts at ten,neutral
I am reviewing the document now,neutral
This seems acceptable,neutral
