ame,artist,tag,url
Blinding Lights,The Weeknd,pop,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights
Levitating,Dua Lipa,pop,https://www.last.fm/music/Dua+Lipa/_/Levitating
Uptown Funk,Mark Ronson ft. Bruno Mars,pop,https://www.last.fm/music/Mark+Ronson/_/Uptown+Funk
Shake It Off,Taylor Swift,pop,https://www.last.fm/music/Taylor+Swift/_/Shake+It+Off
Can't Stop the Feeling!,Justin Timberlake,pop,https://www.last.fm/music/Justin+Timberlake/_/CAN%27T+STOP+THE+FEELING!
As It Was,Harry Styles,pop,https://www.last.fm/music/Harry+Styles/_/As+It+Was
Bad Guy,Billie Eilish,pop,
Firework,Katy Perry,pop,
Happy,Pharrell Williams,pop,
Shape of You,Ed Sheeran,pop,
Roar,Katy Perry,pop,
Sorry,Justin Bieber,pop,
Hips Don't Lie,Shakira,pop,
Call Me Maybe,Carly Rae Jepsen,pop,
Teenage Dream,Katy Perry,pop,
Wake Me Up,Avicii,pop,
Counting Stars,OneRepublic,pop,
Senorita,Shawn Mendes,pop,
Havana,Camila Cabello,pop,
Watermelon Sugar,Harry Styles,pop,
Don't Start Now,Dua Lipa,pop,
Dynamite,BTS,pop,
Anti-Hero,Taylor Swift,pop,
Flowers,Miley Cyrus,pop,
Stay,The Kid LAROI,pop,
Believer,Imagine Dragons,rock,https://www.last.fm/music/Imagine+Dragons/_/Believer
Numb,Linkin Park,rock,https://www.last.fm/music/Linkin+Park/_/Numb
Seven Nation Army,The White Stripes,rock,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army
Smells Like Teen Spirit,Nirvana,rock,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit
Boulevard of Broken Dreams,Green Day,rock,https://www.last.fm/music/Green+Day/_/Boulevard+of+Broken+Dreams
Paint It Black,The Rolling Stones,rock,https://www.last.fm/music/The+Rolling+Stones/_/Paint+It+Black
In The End,Linkin Park,rock,
Thunderstruck,AC/DC,rock,
Back In Black,AC/DC,rock,
Sweet Child O Mine,Guns N Roses,rock,
Hotel California,Eagles,rock,
Livin On A Prayer,Bon Jovi,rock,
Eye of the Tiger,Survivor,rock,
We Will Rock You,Queen,rock,
Bohemian Rhapsody,Queen,rock,
Zombie,The Cranberries,rock,
Radioactive,Imagine Dragons,rock,
Highway to Hell,AC/DC,rock,
Californication,Red Hot Chili Peppers,rock,
The Pretender,Foo Fighters,rock,
Creep,Radiohead,rock,
Mr Brightside,The Killers,rock,
Use Somebody,Kings of Leon,rock,
Dream On,Aerosmith,rock,
Wonderwall,Oasis,rock,
Let Her Go,Passenger,acoustic,https://www.last.fm/music/Passenger/_/Let+Her+Go
Skinny Love,Bon Iver,acoustic,https://www.last.fm/music/Bon+Iver/_/Skinny+Love
The A Team,Ed Sheeran,acoustic,https://www.last.fm/music/Ed+Sheeran/_/The+A+Team
Fast Car,Tracy Chapman,acoustic,https://www.last.fm/music/Tracy+Chapman/_/Fast+Car
Photograph,Ed Sheeran,acoustic,https://www.last.fm/music/Ed+Sheeran/_/Photograph
Ho Hey,The Lumineers,acoustic,https://www.last.fm/music/The+Lumineers/_/Ho+Hey
Someone Like You,Adele,acoustic,
Say You Won't Let Go,James Arthur,acoustic,
Riptide,Vance Joy,acoustic,
Budapest,George Ezra,acoustic,
Banana Pancakes,Jack Johnson,acoustic,
Better Together,Jack Johnson,acoustic,
I See Fire,Ed Sheeran,acoustic,
Fix You,Coldplay,acoustic,
Hallelujah,Jeff Buckley,acoustic,
Take Me Home Country Roads,John Denver,acoustic,
Landslide,Fleetwood Mac,acoustic,
Blackbird,The Beatles,acoustic,
Tenerife Sea,Ed Sheeran,acoustic,
Thinking Out Loud,Ed Sheeran,acoustic,
Gravity,John Mayer,acoustic,
Heartbeats,Jose Gonzalez,acoustic,
Home,Edward Sharpe and the Magnetic Zeros,acoustic,
Chasing Cars,Snow Patrol,acoustic,
Iris,Goo Goo Dolls,acoustic,
Sunset Lover,Petit Biscuit,chill,https://www.last.fm/music/Petit+Biscuit/_/Sunset+Lover
Weightless,Marconi Union,chill,https://www.last.fm/music/Marconi+Union/_/Weightless
Ocean Eyes,Billie Eilish,chill,https://www.last.fm/music/Billie+Eilish/_/ocean+eyes
Lovely,Billie Eilish & Khalid,chill,https://www.last.fm/music/Billie+Eilish/_/lovely
Golden Hour,JVKE,chill,https://www.last.fm/music/JVKE/_/golden+hour
Midnight City,M83,chill,https://www.last.fm/music/M83/_/Midnight+City
Intro,The xx,chill,
Awake,Tycho,chill,
Night Owl,Galimatias,chill,
Holocene,Bon Iver,chill,
Space Song,Beach House,chill,
Breathe,Telepopmusik,chill,
River Flows In You,Yiruma,chill,
Experience,Ludovico Einaudi,chill,
A Moment Apart,ODESZA,chill,
Bloom,ODESZA,chill,
Open,Rhye,chill,
Teardrop,Massive Attack,chill,
Roads,Portishead,chill,
After Dark,Mr Kitty,chill,
Sun Models,ODESZA,chill,
Anchor,Novo Amor,chill,
Youth,Daughter,chill,
Nothings Gonna Hurt You Baby,Cigarettes After Sex,chill,
Cold Little Heart,Michael Kiwanuka,chill,
